ASV_ID	CaS3_S35_L001	CaS4_S47_L001	TgS1_S11_L001	TgS2_S23_L001	UpS5_S59_L001
ASV655	46	0	0	0	0
ASV656	46	0	0	0	0
ASV657	34	12	0	0	0
ASV658	0	46	0	0	0
ASV659	0	46	0	0	0
ASV660	0	0	46	0	0
ASV661	0	0	46	0	0
ASV662	0	0	46	0	0
ASV663	0	0	22	0	24
ASV664	0	0	12	34	0
ASV665	0	0	0	0	46
ASV666	0	0	0	0	46
ASV667	0	0	0	0	46
ASV668	0	0	0	0	46
ASV669	0	0	0	0	46
ASV670	0	0	0	0	46
ASV671	0	0	0	0	46
ASV672	0	0	0	0	46
ASV673	45	0	0	0	0
ASV674	45	0	0	0	0
ASV675	45	0	0	0	0
ASV676	14	0	0	0	31
ASV677	0	45	0	0	0
ASV678	0	45	0	0	0
ASV679	0	45	0	0	0
ASV680	0	0	45	0	0
ASV681	0	0	45	0	0
ASV682	0	0	45	0	0
ASV683	0	0	45	0	0
ASV684	0	0	23	22	0
ASV685	0	0	13	32	0
ASV686	0	0	0	45	0
ASV687	0	0	0	45	0
ASV688	0	0	0	15	30
ASV689	0	0	0	0	45
ASV690	0	0	0	0	45
ASV691	0	0	0	0	45
ASV692	0	0	0	0	45
ASV693	0	0	0	0	45
ASV694	44	0	0	0	0
ASV695	44	0	0	0	0
ASV696	24	20	0	0	0
ASV697	23	0	0	21	0
ASV698	0	44	0	0	0
ASV699	0	44	0	0	0
ASV700	0	44	0	0	0
ASV701	0	44	0	0	0
ASV702	0	44	0	0	0
ASV703	0	33	11	0	0
ASV704	0	18	26	0	0
ASV705	0	11	0	0	33
ASV706	0	0	44	0	0
ASV707	0	0	44	0	0
ASV708	0	0	44	0	0
ASV709	0	0	20	24	0
ASV710	0	0	0	44	0
ASV711	0	0	0	44	0
ASV712	0	0	0	0	44
ASV713	0	0	0	0	44
ASV714	0	0	0	0	44
ASV715	0	0	0	0	44
ASV716	0	0	0	0	44
ASV717	0	0	0	0	44
ASV718	0	0	0	0	44
ASV719	0	0	0	0	44
ASV720	43	0	0	0	0
ASV721	43	0	0	0	0
ASV722	43	0	0	0	0
ASV723	0	43	0	0	0
ASV724	0	43	0	0	0
ASV725	0	43	0	0	0
ASV726	0	0	43	0	0
ASV727	0	0	43	0	0
ASV728	0	0	35	8	0
ASV729	0	0	0	43	0
ASV730	0	0	0	0	43
ASV731	0	0	0	0	43
ASV732	0	0	0	0	43
ASV733	0	0	0	0	43
ASV734	0	0	0	0	43
ASV735	42	0	0	0	0
ASV736	42	0	0	0	0
ASV737	42	0	0	0	0
ASV738	42	0	0	0	0
ASV739	20	22	0	0	0
ASV740	0	42	0	0	0
ASV741	0	42	0	0	0
ASV742	0	42	0	0	0
ASV743	0	42	0	0	0
ASV744	0	20	22	0	0
ASV745	0	0	42	0	0
ASV746	0	0	0	42	0
ASV747	0	0	0	0	42
ASV748	0	0	0	0	42
ASV749	0	0	0	0	42
ASV750	0	0	0	0	42
ASV751	0	0	0	0	42
ASV752	0	0	0	0	42
ASV753	0	0	0	0	42
ASV754	0	0	0	0	42
ASV755	41	0	0	0	0
ASV756	41	0	0	0	0
ASV757	30	0	0	11	0
ASV758	28	0	0	13	0
ASV759	5	0	0	36	0
ASV760	0	41	0	0	0
ASV761	0	41	0	0	0
ASV762	0	41	0	0	0
ASV763	0	41	0	0	0
ASV764	0	41	0	0	0
ASV765	0	41	0	0	0
ASV766	0	8	33	0	0
ASV767	0	0	35	6	0
ASV768	0	0	23	18	0
ASV769	0	0	0	41	0
ASV770	0	0	0	41	0
ASV771	0	0	0	0	41
ASV772	0	0	0	0	41
ASV773	0	0	0	0	41
ASV774	0	0	0	0	41
ASV775	0	0	0	0	41
ASV776	0	0	0	0	41
ASV777	40	0	0	0	0
ASV778	40	0	0	0	0
ASV779	40	0	0	0	0
ASV780	40	0	0	0	0
ASV781	40	0	0	0	0
ASV782	40	0	0	0	0
ASV783	23	0	0	17	0
ASV784	14	0	0	0	26
ASV785	0	40	0	0	0
ASV786	0	40	0	0	0
ASV787	0	40	0	0	0
ASV788	0	4	0	36	0
ASV789	0	0	40	0	0
ASV790	0	0	40	0	0
ASV791	0	0	40	0	0
ASV792	0	0	40	0	0
ASV793	0	0	0	0	40
ASV794	0	0	0	0	40
ASV795	0	0	0	0	40
ASV796	0	0	0	0	40
ASV797	39	0	0	0	0
ASV798	39	0	0	0	0
ASV799	39	0	0	0	0
ASV800	15	24	0	0	0
ASV801	7	0	0	0	32
ASV802	0	39	0	0	0
ASV803	0	39	0	0	0
ASV804	0	39	0	0	0
ASV805	0	39	0	0	0
ASV806	0	39	0	0	0
ASV807	0	39	0	0	0
ASV808	0	39	0	0	0
ASV809	0	20	0	0	19
ASV810	0	14	25	0	0
ASV811	0	0	39	0	0
ASV812	0	0	39	0	0
ASV813	0	0	39	0	0
ASV814	0	0	39	0	0
ASV815	0	0	39	0	0
ASV816	0	0	20	19	0
ASV817	0	0	0	39	0
ASV818	0	0	0	0	39
ASV819	0	0	0	0	39
ASV820	0	0	0	0	39
ASV821	0	0	0	0	39
ASV822	0	0	0	0	39
ASV823	0	0	0	0	39
ASV824	0	0	0	0	39
ASV825	0	0	0	0	39
ASV826	38	0	0	0	0
ASV827	38	0	0	0	0
ASV828	38	0	0	0	0
ASV829	38	0	0	0	0
ASV830	25	13	0	0	0
ASV831	0	38	0	0	0
ASV832	0	38	0	0	0
ASV833	0	38	0	0	0
