ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV141	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	uncultured bacterium
ASV142	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	KCM-B-112	uncultured bacterium
ASV143	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Phytohabitans	uncultured bacterium
ASV144	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	uncultured	uncultured bacterium
ASV145	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Aquimonas	uncultured bacterium
ASV146	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	uncultured bacterium
ASV147	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured bacterium
ASV148	Bacteria	Fibrobacterota	Chitinivibrionia	NA	NA	uncultured	uncultured bacterium
ASV149	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	B1-7BS	uncultured	uncultured bacterium
ASV150	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Nordella	uncultured bacterium
ASV151	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	uncultured bacterium
ASV152	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	uncultured bacterium
ASV153	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	uncultured	uncultured bacterium
ASV154	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Parvibium	uncultured bacterium
ASV155	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	uncultured bacterium
ASV156	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured bacterium
ASV157	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	uncultured bacterium
ASV158	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	uncultured bacterium
ASV159	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Hassallia	uncultured bacterium
ASV160	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured	uncultured bacterium
ASV161	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	uncultured	uncultured bacterium
ASV162	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	uncultured bacterium
ASV163	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	uncultured bacterium
ASV164	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	uncultured	uncultured bacterium
ASV165	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	uncultured	uncultured bacterium
ASV166	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Desmonostoc PCC-7422	uncultured bacterium
ASV167	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Desmonostoc PCC-7422	uncultured bacterium
ASV168	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	uncultured bacterium
